;Player;Position;Comp;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio
0;Patrick van Aanholt;DF;eng Premier League;28;2,507;3.0;0.11;2;0.07;0.18;27.9;62;2.23;32;3;5;0.18;3;1;1227;78.8;21251;9280;44;0;41.4;5;0.93;0.08;32;22;57;27.7
1;Max Aarons;DF;eng Premier League;19;3,240;0.0;0.00;1;0.03;0.03;36.0;55;1.53;42;3;3;0.08;1;0;1316;78.1;20293;6834;54;1;35.4;4;0.39;0.00;36;21;100;27.1
2;Yunis Abdelhamid;DF;fr Ligue 1;31;2,520;3.0;0.11;0;0.00;0.11;28.0;16;0.57;11;0;1;0.04;1;0;1328;87.7;29513;9041;1;0;67.2;5;0.68;0.16;37;14;43;37.1
3;Suleiman Abdullahi;FW,MF;de Bundesliga;22;157;1.0;0.57;0;0.00;0.57;1.7;2;1.15;1;1;0;0.00;0;0;18;45.0;316;132;7;0;35.3;3;3.44;0.17;1;1;3;36.0
4;Mehdi Abeid;MF;fr Ligue 1;26;1,817;1.0;0.05;2;0.10;0.15;20.2;46;2.28;27;1;4;0.20;2;0;801;83.7;14638;3850;18;0;42.4;7;1.63;0.03;41;24;18;27.3
5;Charles Abi;FW;fr Ligue 1;19;623;0.0;0.00;0;0.00;0.00;6.9;12;1.73;8;0;1;0.14;0;0;74;56.1;1085;199;4;1;40.9;0;0.72;0.00;8;3;1;29.3
6;David Abraham;DF;de Bundesliga;33;1,688;2.0;0.11;0;0.00;0.11;18.8;11;0.59;10;0;0;0.00;0;0;742;82.8;16639;6079;5;0;61.4;4;0.37;0.29;22;16;32;37.5
7;Tammy Abraham;FW;eng Premier League;21;2,215;15.0;0.61;3;0.12;0.73;24.6;50;2.03;33;6;10;0.41;4;3;288;69.9;4213;811;10;1;37.9;35;3.58;0.17;10;4;23;30.2
8;Amir Abrashi;MF;de Bundesliga;29;663;0.0;0.00;0;0.00;0.00;7.4;10;1.36;8;1;0;0.00;0;0;298;87.1;4705;1028;5;0;57.1;2;0.68;0.00;13;7;19;25.0
9;Francesco Acerbi;DF;it Serie A;31;3,162;2.0;0.06;2;0.06;0.11;35.1;27;0.77;24;1;3;0.09;3;0;1809;90.0;41350;12495;24;1;67.3;7;0.48;0.12;33;13;61;35.9
10;Che Adams;FW;eng Premier League;23;1,111;4.0;0.32;2;0.16;0.49;12.3;25;2.03;15;3;5;0.41;2;1;184;69.4;2931;631;12;1;25.2;9;3.00;0.11;6;0;10;25.1
