;PlayerName;Name;Position;Age;Min;Goals;GoalsPer90;Asists;AsistsPer90;GoalAstPer90;Played90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;Value;Value2;NetValue;logValue
0;Aaron Connolly;Aaron Connolly;FW;19.0;1258;3;0.21;1;0.07;0.29;14.0;25.0;1.79;7.0;3.0;5.0;0.36;1.0;1.0;126.0;77.3;1739.0;242.0;7;2.0;22.6;13;2.72;0.08;8;3.0;8.0;29.5;24;1.13;61.0;6.0;1.0;Forward;9.0;M;9.0;2.1972245773362196
1;Aaron Cresswell;Aaron Cresswell;DF;29.0;2727;3;0.1;0;0.0;0.1;30.3;46.0;1.52;33.0;2.0;2.0;0.07;1.0;1.0;1241.0;73.8;21630.0;10702.0;70;0.0;60.0;5;0.59;0.17;29;24.0;64.0;33.2;31;0.97;26.0;16.0;2.0;Defender;10.0;M;10.0;2.302585092994046
2;Aaron Leya Iseka;Aaron Leya Iseka;FW;21.0;777;2;0.23;0;0.0;0.23;8.6;20.0;2.32;13.0;1.0;1.0;0.12;0.0;0.0;142.0;77.6;1881.0;252.0;3;1.0;34.5;8;2.9;0.04;5;2.0;6.0;20.4;22;0.27;39.0;7.0;0.0;Forward;600.0;K;0.6;-0.5108256237659907
3;Aaron Ramsdale;Aaron Ramsdale;GK;21.0;3330;0;0.0;1;0.03;0.03;37.0;3.0;0.08;1.0;0.0;0.0;0.0;0.0;0.0;648.0;57.7;21850.0;14848.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;12.5;37;0.92;0.0;0.0;0.0;Goalkeeper;20.0;M;20.0;2.995732273553991
4;Aaron Ramsey;Aaron Ramsey;MF;28.0;1051;3;0.26;1;0.09;0.34;11.7;44.0;3.77;40.0;2.0;4.0;0.34;3.0;0.0;649.0;87.0;9596.0;1744.0;13;0.0;63.6;9;2.31;0.11;19;7.0;21.0;28.4;24;2.25;61.0;16.0;0.0;Midfielder;20.0;M;20.0;2.995732273553991
5;Aaron Wan-Bissaka;Aaron Wan-Bissaka;DF;21.0;3070;0;0.0;4;0.12;0.12;34.1;47.0;1.38;40.0;5.0;6.0;0.18;5.0;1.0;1676.0;81.2;24885.0;9484.0;71;0.0;53.8;1;0.26;0.0;65;45.0;101.0;28.8;35;1.77;46.0;59.0;3.0;Defender;60.0;M;60.0;4.0943445622221
6;Aarón Escandell;Aarón Escandell;GK;23.0;270;0;0.0;0;0.0;0.0;3.0;2.0;0.67;2.0;0.0;0.0;0.0;0.0;0.0;77.0;60.2;2885.0;2005.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;3;1.0;0.0;0.0;0.0;Goalkeeper;1.0;M;1.0;0.0
7;Aarón Martín;Aarón Martín;DF;22.0;1792;0;0.0;0;0.0;0.0;19.9;50.0;2.51;27.0;1.0;3.0;0.15;1.0;0.0;662.0;72.6;11891.0;4792.0;59;0.0;40.5;3;0.45;0.0;15;10.0;38.0;28.0;22;1.0;13.0;24.0;1.0;Defender;7.0;M;7.0;1.9459101490553132
8;Abdou Diallo;Abdou Diallo;DF;23.0;1201;0;0.0;1;0.07;0.07;13.3;10.0;0.75;7.0;0.0;1.0;0.07;1.0;0.0;986.0;92.9;19786.0;6924.0;6;0.0;60.7;2;0.37;0.0;10;6.0;22.0;37.3;16;2.44;8.0;17.0;1.0;Defender;9.0;M;9.0;2.1972245773362196
9;Abdoulaye Bamba;Abdoulaye Bamba;DF;29.0;554;0;0.0;0;0.0;0.0;6.2;3.0;0.49;3.0;0.0;0.0;0.0;0.0;0.0;207.0;74.2;3542.0;1719.0;13;0.0;50.0;0;0.16;0.0;6;7.0;9.0;22.6;7;2.14;3.0;4.0;0.0;Defender;2.0;M;2.0;0.6931471805599453
