	Player	Position	Comp	Age	Min	Goals	GoalsPer90	Asists	Asists	GoalAstPer90	TacklesWon	TklDribbling	Blocks	SuccPressRatio	CompletedPasses	PassCompRatio	TotDistPass	ProgDistPass	90s	SCA	SCA90	ShootPass	ShootDrib	GCA	GCA90	AssistPass	AssistDrib	Crosses	PenaltyWon	AerialWonRate	ShootOnTarget	ShootPer90	GoalPerShoot
0	Patrick van Aanholt	DF	eng Premier League	28	2,507	3	0.11	2	0.07	0.18	32	22	57	27.7	1227	78.8	21251	9280	27.9	62	2.23	32	3	5	0.18	3	1	44	0	41.4	5	0.93	0.08
1	Max Aarons	DF	eng Premier League	19	3,240	0	0.00	1	0.03	0.03	36	21	100	27.1	1316	78.1	20293	6834	36.0	55	1.53	42	3	3	0.08	1	0	54	1	35.4	4	0.39	0.00
2	Yunis Abdelhamid	DF	fr Ligue 1	31	2,520	3	0.11	0	0.00	0.11	37	14	43	37.1	1328	87.7	29513	9041	28.0	16	0.57	11	0	1	0.04	1	0	1	0	67.2	5	0.68	0.16
3	Suleiman Abdullahi	FW,MF	de Bundesliga	22	157	1	0.57	0	0.00	0.57	1	1	3	36.0	18	45.0	316	132	1.7	2	1.15	1	1	0	0.00	0	0	7	0	35.3	3	3.44	0.17
4	Mehdi Abeid	MF	fr Ligue 1	26	1,817	1	0.05	2	0.10	0.15	41	24	18	27.3	801	83.7	14638	3850	20.2	46	2.28	27	1	4	0.20	2	0	18	0	42.4	7	1.63	0.03
5	Charles Abi	FW	fr Ligue 1	19	623	0	0.00	0	0.00	0.00	8	3	1	29.3	74	56.1	1085	199	6.9	12	1.73	8	0	1	0.14	0	0	4	1	40.9	0	0.72	0.00
6	David Abraham	DF	de Bundesliga	33	1,688	2	0.11	0	0.00	0.11	22	16	32	37.5	742	82.8	16639	6079	18.8	11	0.59	10	0	0	0.00	0	0	5	0	61.4	4	0.37	0.29
7	Tammy Abraham	FW	eng Premier League	21	2,215	15	0.61	3	0.12	0.73	10	4	23	30.2	288	69.9	4213	811	24.6	50	2.03	33	6	10	0.41	4	3	10	1	37.9	35	3.58	0.17
8	Amir Abrashi	MF	de Bundesliga	29	663	0	0.00	0	0.00	0.00	13	7	19	25.0	298	87.1	4705	1028	7.4	10	1.36	8	1	0	0.00	0	0	5	0	57.1	2	0.68	0.00
9	Francesco Acerbi	DF	it Serie A	31	3,162	2	0.06	2	0.06	0.11	33	13	61	35.9	1809	90.0	41350	12495	35.1	27	0.77	24	1	3	0.09	3	0	24	1	67.3	7	0.48	0.12
10	Che Adams	FW	eng Premier League	23	1,111	4	0.32	2	0.16	0.49	6	0	10	25.1	184	69.4	2931	631	12.3	25	2.03	15	3	5	0.41	2	1	12	1	25.2	9	3.00	0.11
11	Tyler Adams	DF,MF	de Bundesliga	20	953	0	0.00	0	0.00	0.00	12	9	22	30.9	595	85.1	9793	2653	10.6	18	1.70	14	0	2	0.19	1	0	9	0	38.5	1	0.66	0.00
12	Sargis Adamyan	FW,MF	de Bundesliga	26	746	5	0.60	1	0.12	0.72	4	4	5	21.5	140	73.3	2008	429	8.3	20	2.41	16	1	4	0.48	3	0	6	1	25.9	10	2.41	0.25
13	Antonio Adán	GK	es La Liga	32	25	0	0.00	0	0.00	0.00	0	0	0		4	66.7	121	98	0.3	0	0.00	0	0	0	0.00	0	0	0	0		0	0.00	
14	Bobby Adekanye	FW	it Serie A	20	188	1	0.48	0	0.00	0.48	3	1	0	16.7	41	89.1	546	68	2.1	6	2.87	3	0	0	0.00	0	0	1	0	14.3	4	2.39	0.20
15	Claud Adjapong	DF	it Serie A	21	231	0	0.00	0	0.00	0.00	3	0	5	24.0	61	76.3	1113	358	2.6	1	0.39	0	1	0	0.00	0	0	2	0	66.7	1	1.17	0.00
16	Amine Adli	MF,FW	fr Ligue 1	19	46	0	0.00	0	0.00	0.00	0	0	0	23.5	21	77.8	336	127	0.5	3	5.87	2	0	0	0.00	0	0	1	0	50.0	0	0.00	
17	Yacine Adli	MF,FW	fr Ligue 1	19	1,020	3	0.26	3	0.26	0.53	18	10	11	26.2	460	79.2	8420	1964	11.3	38	3.35	25	4	7	0.62	3	2	11	0	39.1	6	1.59	0.17
18	Adrián	GK	eng Premier League	32	875	0	0.00	0	0.00	0.00	0	0	0	0.0	227	72.3	6819	3815	9.7	2	0.21	2	0	0	0.00	0	0	0	0		0	0.00	
19	Aritz Aduriz	FW	es La Liga	38	208	1	0.43	0	0.00	0.43	1	0	0	25.0	33	57.9	428	88	2.3	2	0.87	1	1	0	0.00	0	0	1	0	76.9	3	2.60	0.17
20	Lumor Agbenyenu	DF	es La Liga	22	1,805	1	0.05	0	0.00	0.05	23	18	37	29.3	709	73.2	12417	6167	20.1	33	1.65	23	2	0	0.00	0	0	54	0	48.3	2	0.70	0.07
21	Martin Agirregabiria	DF	es La Liga	23	2,099	1	0.04	1	0.04	0.09	22	25	39	24.2	722	71.2	12629	6069	23.3	23	0.99	18	2	3	0.13	3	0	30	0	53.5	1	0.13	0.33
22	Lucien Agoume	MF	it Serie A	17	68	0	0.00	0	0.00	0.00	3	1	3	13.3	36	92.3	671	201	0.8	2	2.65	2	0	1	1.32	1	0	1	0	100.0	0	0.00	
23	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
24	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
25	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
26	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
27	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
28	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	2	1.35	0.10
29	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	0	5.63	0.00
30	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	29	80.6	458	141	7.4	31	4.19	21	5	2	0.27	1	0	10	0	40.0	2	1.35	0.10
31	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	0	5.63	0.00
32	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	0	0	0.0	2	1.35	0.10
33	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	0	5.63	0.00
34	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	0.7	6	8.44	4	2	1	1.41	1	0	10	0	40.0	2	1.35	0.10
35	Kevin Agudelo	MF,FW	it Serie A	20	64	0	0.00	0	0.00	0.00	1	0	1	27.3	245	81.4	3840	902	7.4	31	4.19	21	5	2	0.27	1	0	0	0	0.0	0	5.63	0.00
