;Player;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib
0;Patrick van Aanholt;27.9;62;2.23;32;3;5;0.18;3;1
1;Max Aarons;36.0;55;1.53;42;3;3;0.08;1;0
2;Yunis Abdelhamid;28.0;16;0.57;11;0;1;0.04;1;0
3;Suleiman Abdullahi;1.7;2;1.15;1;1;0;0.00;0;0
4;Mehdi Abeid;20.2;46;2.28;27;1;4;0.20;2;0
5;Charles Abi;6.9;12;1.73;8;0;1;0.14;0;0
6;David Abraham;18.8;11;0.59;10;0;0;0.00;0;0
7;Tammy Abraham;24.6;50;2.03;33;6;10;0.41;4;3
8;Amir Abrashi;7.4;10;1.36;8;1;0;0.00;0;0
9;Francesco Acerbi;35.1;27;0.77;24;1;3;0.09;3;0
10;Che Adams;12.3;25;2.03;15;3;5;0.41;2;1
11;Tyler Adams;10.6;18;1.70;14;0;2;0.19;1;0
12;Sargis Adamyan;8.3;20;2.41;16;1;4;0.48;3;0
13;Antonio Adán;0.3;0;0.00;0;0;0;0.00;0;0
14;Bobby Adekanye;2.1;6;2.87;3;0;0;0.00;0;0
15;Claud Adjapong;2.6;1;0.39;0;1;0;0.00;0;0
16;Amine Adli;0.5;3;5.87;2;0;0;0.00;0;0
17;Yacine Adli;11.3;38;3.35;25;4;7;0.62;3;2
18;Adrián;9.7;2;0.21;2;0;0;0.00;0;0
19;Aritz Aduriz;2.3;2;0.87;1;1;0;0.00;0;0
20;Lumor Agbenyenu;20.1;33;1.65;23;2;0;0.00;0;0
21;Martin Agirregabiria;23.3;23;0.99;18;2;3;0.13;3;0
22;Lucien Agoume;0.8;2;2.65;2;0;1;1.32;1;0
23;Kevin Agudelo;0.7;6;8.44;4;2;1;1.41;1;0
24;Kevin Agudelo;7.4;31;4.19;21;5;2;0.27;1;0
25;Nayef Aguerd;10.6;3;0.28;3;0;1;0.09;1;0
26;Sergio Agüero;16.1;51;3.16;28;9;8;0.50;4;1
27;Ruben Aguilar;11.9;24;2.01;22;0;3;0.25;3;0
28;Emmanuel Agyemang-Badu;2.6;3;1.17;3;0;0;0.00;0;0
29;Jean-Eudes Aholou;7.0;12;1.71;7;1;1;0.14;0;0
30;Joseph Aidoo;27.8;13;0.47;9;1;2;0.07;2;0
31;Ola Aina;23.1;46;1.99;25;4;7;0.30;3;0
32;Youssef Aït Bennasser;6.0;8;1.34;8;0;2;0.34;2;0
33;Rayan Aït Nouri;14.2;22;1.54;17;0;4;0.28;4;0
34;Albian Ajeti;1.5;2;1.29;2;0;0;0.00;0;0
35;Ludovic Ajorque;22.9;36;1.57;27;3;10;0.44;6;1
36;Manuel Akanji;25.7;10;0.39;9;0;3;0.12;3;0
37;Marley Aké;1.1;4;3.64;3;1;1;0.91;1;0
38;Nathan Aké;27.8;13;0.47;7;1;2;0.07;1;0
39;Chadrac Akolo;6.0;17;2.81;9;2;4;0.66;1;1
40;Kevin Akpoguma;12.7;4;0.32;4;0;0;0.00;0;0
41;David Alaba;27.8;38;1.37;33;1;2;0.07;1;0
42;Sofiane Alakouch;15.6;25;1.61;22;1;3;0.19;3;0
43;Lucas Alario;13.0;30;2.30;21;2;3;0.23;1;0
44;Jordi Alba;24.3;45;1.85;44;0;5;0.21;5;0
45;Luis Alberto;34.6;206;5.96;135;16;29;0.84;22;0
46;Raúl Albiol;36.0;16;0.44;16;0;1;0.03;1;0
47;Marc Albrighton;9.6;26;2.70;22;1;5;0.52;5;0
48;Paco Alcácer;10.3;16;1.56;14;0;3;0.29;2;0
49;Paco Alcácer;5.9;14;2.38;10;2;3;0.51;2;0
50;Thiago Alcántara;19.7;57;2.90;44;3;8;0.41;6;2
51;Rubén Alcaraz;21.4;44;2.06;24;5;4;0.19;4;0
52;Toby Alderweireld;32.9;21;0.64;18;0;3;0.09;2;0
53;Haitam Aleesami;21.3;27;1.27;23;0;3;0.14;3;0
54;Álex Alegría;1.2;1;0.83;0;0;0;0.00;0;0
55;Carles Aleñá;1.9;2;1.05;2;0;1;0.52;1;0
56;Carles Aleñá;8.2;13;1.59;13;0;1;0.12;1;0
57;Rúnar Alex Rúnarsson;10.0;3;0.30;1;0;0;0.00;0;0
58;Trent Alexander-Arnold;35.3;152;4.31;91;3;24;0.68;14;0
59;Enrico Alfonso;3.1;0;0.00;0;0;0;0.00;0;0
60;Rachid Alioui;17.4;39;2.25;30;4;2;0.12;2;0
61;Alisson;28.3;4;0.14;4;0;1;0.04;1;0
62;Allan;14.2;41;2.88;36;4;3;0.21;3;0
63;Dele Alli;20.5;54;2.63;39;9;12;0.58;5;5
64;Miguel Almirón;33.6;80;2.38;58;7;2;0.06;2;0
65;Marcos Alonso;15.9;47;2.96;36;1;6;0.38;4;0
66;Mickaël Alphonse;15.3;17;1.11;12;0;3;0.20;2;0
67;Sergio Álvarez;12.7;12;0.94;10;1;0;0.00;0;0
68;Sergio Álvarez;2.0;0;0.00;0;0;0;0.00;0;0
69;Yeray Álvarez;31.2;19;0.61;17;0;1;0.03;1;0
70;Bruno Alves;29.7;15;0.51;11;0;0;0.00;0;0
71;Steven Alzate;13.2;30;2.27;22;5;1;0.08;0;0
72;Ibrahim Amadou;8.4;1;0.12;1;0;0;0.00;0;0
73;Ibrahim Amadou;8.6;2;0.23;2;0;0;0.00;0;0
74;Romain Amalfitano;18.8;27;1.43;18;3;2;0.11;2;0
75;Amath;0.7;1;1.36;1;0;0;0.00;0;0
76;Jordan Amavi;24.0;27;1.12;21;1;2;0.08;2;0
77;Thierry Ambrose;6.1;23;3.78;17;4;0;0.00;0;0
78;Kelvin Amian;18.1;11;0.61;10;0;1;0.06;1;0
79;Nadiem Amiri;20.6;89;4.31;57;6;9;0.44;8;0
80;Ethan Ampadu;0.9;0;0.00;0;0;0;0.00;0;0
81;Opoku Ampomah;5.6;17;3.06;11;4;0;0.00;0;0
