;Player;TacklesWon;TklDribbling;Blocks;SuccPressRatio
0;Patrick van Aanholt;32;22;57;27.7
1;Max Aarons;36;21;100;27.1
2;Yunis Abdelhamid;37;14;43;37.1
3;Suleiman Abdullahi;1;1;3;36.0
4;Mehdi Abeid;41;24;18;27.3
5;Charles Abi;8;3;1;29.3
6;David Abraham;22;16;32;37.5
7;Tammy Abraham;10;4;23;30.2
8;Amir Abrashi;13;7;19;25.0
9;Francesco Acerbi;33;13;61;35.9
10;Che Adams;6;0;10;25.1
11;Tyler Adams;12;9;22;30.9
12;Sargis Adamyan;4;4;5;21.5
13;Antonio Adán;0;0;0;
14;Bobby Adekanye;3;1;0;16.7
15;Claud Adjapong;3;0;5;24.0
16;Amine Adli;0;0;0;23.5
17;Yacine Adli;18;10;11;26.2
18;Adrián;0;0;0;0.0
19;Aritz Aduriz;1;0;0;25.0
20;Lumor Agbenyenu;23;18;37;29.3
21;Martin Agirregabiria;22;25;39;24.2
22;Lucien Agoume;3;1;3;13.3
23;Kevin Agudelo;1;0;1;27.3
24;Kevin Agudelo;18;10;12;21.2
25;Nayef Aguerd;11;6;21;26.4
26;Sergio Agüero;5;1;15;25.2
27;Ruben Aguilar;28;18;11;35.0
28;Emmanuel Agyemang-Badu;1;0;4;13.3
29;Jean-Eudes Aholou;19;4;8;38.5
30;Joseph Aidoo;26;8;42;35.5
31;Ola Aina;28;24;70;29.0
32;Youssef Aït Bennasser;7;2;12;29.3
33;Rayan Aït Nouri;18;6;32;37.1
34;Albian Ajeti;0;0;0;4.8
35;Ludovic Ajorque;14;3;11;26.8
36;Manuel Akanji;23;17;35;38.6
37;Marley Aké;2;1;0;26.7
38;Nathan Aké;11;7;59;29.7
39;Chadrac Akolo;13;3;8;30.7
40;Kevin Akpoguma;11;15;31;33.1
41;David Alaba;17;10;40;38.5
42;Sofiane Alakouch;30;25;23;31.2
43;Lucas Alario;2;3;9;27.6
44;Jordi Alba;14;8;40;29.4
45;Luis Alberto;34;22;43;29.8
46;Raúl Albiol;33;18;40;30.6
47;Marc Albrighton;11;7;18;34.0
48;Paco Alcácer;2;1;10;29.5
49;Paco Alcácer;2;1;3;25.0
50;Thiago Alcántara;38;14;21;34.6
51;Rubén Alcaraz;36;23;57;29.3
52;Toby Alderweireld;24;14;69;32.2
53;Haitam Aleesami;28;20;55;28.1
54;Álex Alegría;0;0;1;28.6
55;Carles Aleñá;1;1;2;15.8
56;Carles Aleñá;11;7;9;19.0
57;Rúnar Alex Rúnarsson;0;0;0;0.0
58;Trent Alexander-Arnold;25;34;53;32.0
59;Enrico Alfonso;0;0;0;
60;Rachid Alioui;11;4;4;22.5
61;Alisson;0;0;0;20.0
62;Allan;36;17;26;25.5
63;Dele Alli;29;8;53;28.2
64;Miguel Almirón;36;13;44;23.9
65;Marcos Alonso;19;5;30;40.9
66;Mickaël Alphonse;19;16;38;26.7
67;Sergio Álvarez;20;9;25;30.2
68;Sergio Álvarez;0;0;0;
69;Yeray Álvarez;25;13;58;35.6
70;Bruno Alves;11;9;40;28.5
71;Steven Alzate;23;10;26;32.8
72;Ibrahim Amadou;7;3;8;24.3
73;Ibrahim Amadou;9;3;7;26.1
74;Romain Amalfitano;22;14;25;28.1
75;Amath;0;0;1;27.8
76;Jordan Amavi;28;31;53;30.7
77;Thierry Ambrose;5;1;5;30.3
78;Kelvin Amian;15;9;25;23.4
79;Nadiem Amiri;13;4;28;34.5
80;Ethan Ampadu;3;1;2;53.3
81;Opoku Ampomah;6;3;4;23.3
82;Sofyan Amrabat;42;20;43;28.8
83;Joachim Andersen;10;6;22;31.8
84;Djavan Anderson;1;0;5;20.8
85;Felipe Anderson;30;11;21;28.1
86;Sebastian Andersson;11;8;31;24.7
87;Florin Andone;2;0;1;14.3
88;Benjamin André;63;37;45;32.0
89;Lorenzo Andrenacci;0;0;0;50.0
90;Robert Andrich;46;27;39;24.7
91;Victorien Angban;16;14;15;25.5
92;Miguel Ángel Guerrero;1;0;5;21.7
93;Miguel Ángel Moyá;0;0;0;50.0
94;José Ángel;31;25;40;33.1
95;Angeliño;5;5;4;38.3
96;Angeliño;8;7;35;39.4
97;Faustino Anjorin;0;0;1;50.0
98;Peter Ankersen;5;2;29;22.5
99;Cristian Ansaldi;27;14;28;33.9
100;Janis Antiste;0;0;0;0.0
101;Michail Antonio;10;2;26;23.1
102;Antoñito;16;12;24;32.7
103;Mirko Antonucci;2;2;2;26.1
104;Vitorino Antunes;0;0;1;50.0
105;Christopher Antwi-Adjei;20;9;46;25.2
106;Anuar;4;1;6;18.9
107;Houssem Aouar;19;3;19;25.8
108;Adil Aouchiche;2;0;3;24.1
109;Dennis Appiah;32;19;20;32.0
110;Mauro Arambarri;49;21;69;25.8
111;Guilherme Arana;2;3;2;29.2
112;Charles Aránguiz;31;28;38;37.1
113;Luiz Araújo;9;6;16;28.6
114;Néstor Araujo;27;15;43;32.7
115;Ronald Araújo;2;3;9;30.8
116;Anaitz Arbilla;20;12;38;35.2
117;Alphonse Areola;0;0;0;
118;Alphonse Areola;0;0;0;
119;Santiago Arias;17;11;28;37.9
120;Nicolò Armini;0;1;0;20.0
121;Stuart Armstrong;25;13;24;31.6
122;José Arnaiz;3;0;13;26.2
123;José Arnaiz;3;1;7;22.4
124;Maximilian Arnold;35;22;37;32.0
125;Kepa Arrizabalaga;0;0;0;33.3
126;Kwadwo Asamoah;5;6;9;26.0
127;Santiago Ascacíbar;22;8;22;32.0
128;Sergio Asenjo;0;0;0;100.0
129;Marco Asensio;4;1;2;32.4
130;Kristoffer Askildsen;1;2;1;8.3
131;Iago Aspas;21;12;24;27.2
132;Roger Assalé;1;0;6;25.7
133;Miguel Atienza;1;1;2;26.7
134;Christian Atsu;9;4;28;19.3
