;Player;Crosses;PenaltyWon;AerialWonRate
0;Patrick van Aanholt;44;0;41.4
1;Max Aarons;54;1;35.4
2;Yunis Abdelhamid;1;0;67.2
3;Suleiman Abdullahi;7;0;35.3
4;Mehdi Abeid;18;0;42.4
5;Charles Abi;4;1;40.9
6;David Abraham;5;0;61.4
7;Tammy Abraham;10;1;37.9
8;Amir Abrashi;5;0;57.1
9;Francesco Acerbi;24;1;67.3
10;Che Adams;12;1;25.2
11;Tyler Adams;9;0;38.5
12;Sargis Adamyan;6;1;25.9
13;Antonio Adán;0;0;
14;Bobby Adekanye;1;0;14.3
15;Claud Adjapong;2;0;66.7
16;Amine Adli;1;0;50.0
17;Yacine Adli;11;0;39.1
18;Adrián;0;0;
19;Aritz Aduriz;1;0;76.9
20;Lumor Agbenyenu;54;0;48.3
21;Martin Agirregabiria;30;0;53.5
22;Lucien Agoume;1;0;100.0
23;Kevin Agudelo;0;0;0.0
24;Kevin Agudelo;10;0;40.0
25;Nayef Aguerd;0;0;75.9
26;Sergio Agüero;8;2;12.5
27;Ruben Aguilar;52;0;51.6
28;Emmanuel Agyemang-Badu;0;0;29.4
29;Jean-Eudes Aholou;2;0;54.5
30;Joseph Aidoo;1;0;54.1
31;Ola Aina;70;0;53.1
32;Youssef Aït Bennasser;1;0;53.3
33;Rayan Aït Nouri;38;0;70.4
34;Albian Ajeti;0;0;10.0
35;Ludovic Ajorque;18;1;61.2
36;Manuel Akanji;0;0;56.9
37;Marley Aké;1;0;0.0
38;Nathan Aké;2;0;52.5
39;Chadrac Akolo;7;0;28.6
40;Kevin Akpoguma;1;0;44.7
41;David Alaba;25;0;44.9
42;Sofiane Alakouch;27;0;28.6
43;Lucas Alario;5;0;40.0
44;Jordi Alba;79;0;41.7
45;Luis Alberto;44;0;34.8
46;Raúl Albiol;4;0;65.5
47;Marc Albrighton;49;0;28.6
48;Paco Alcácer;3;1;30.8
49;Paco Alcácer;2;0;21.1
50;Thiago Alcántara;7;0;43.3
51;Rubén Alcaraz;12;0;50.0
52;Toby Alderweireld;8;0;58.5
53;Haitam Aleesami;36;0;63.3
54;Álex Alegría;0;0;55.0
55;Carles Aleñá;0;0;40.0
56;Carles Aleñá;2;0;26.7
57;Rúnar Alex Rúnarsson;0;0;
58;Trent Alexander-Arnold;183;0;30.4
59;Enrico Alfonso;0;0;
60;Rachid Alioui;14;0;40.6
61;Alisson;0;0;
62;Allan;9;0;58.8
63;Dele Alli;5;0;34.7
64;Miguel Almirón;38;0;19.6
65;Marcos Alonso;51;1;57.5
66;Mickaël Alphonse;26;0;79.5
67;Sergio Álvarez;0;0;
68;Sergio Álvarez;3;0;41.4
69;Yeray Álvarez;11;0;59.1
70;Bruno Alves;16;0;79.3
71;Steven Alzate;11;0;56.0
72;Ibrahim Amadou;1;0;51.7
73;Ibrahim Amadou;3;0;54.1
74;Romain Amalfitano;11;0;45.8
75;Amath;0;0;50.0
76;Jordan Amavi;32;0;79.1
77;Thierry Ambrose;12;0;53.8
78;Kelvin Amian;9;0;54.1
79;Nadiem Amiri;32;1;25.0
80;Ethan Ampadu;0;0;100.0
81;Opoku Ampomah;7;0;30.8
82;Sofyan Amrabat;28;1;36.9
83;Joachim Andersen;3;0;69.1
84;Djavan Anderson;2;0;33.3
85;Felipe Anderson;32;0;14.3
