;Player;Position;Comp;Age;Min;Goals;Goals;Asists;Asists;GoalAstPer90
0;Patrick van Aanholt;DF;eng Premier League;28;2,507;3;0.11;2;0.07;0.18
1;Max Aarons;DF;eng Premier League;19;3,240;0;0.00;1;0.03;0.03
2;Yunis Abdelhamid;DF;fr Ligue 1;31;2,520;3;0.11;0;0.00;0.11
3;Suleiman Abdullahi;FW,MF;de Bundesliga;22;157;1;0.57;0;0.00;0.57
4;Mehdi Abeid;MF;fr Ligue 1;26;1,817;1;0.05;2;0.10;0.15
5;Charles Abi;FW;fr Ligue 1;19;623;0;0.00;0;0.00;0.00
6;David Abraham;DF;de Bundesliga;33;1,688;2;0.11;0;0.00;0.11
7;Tammy Abraham;FW;eng Premier League;21;2,215;15;0.61;3;0.12;0.73
8;Amir Abrashi;MF;de Bundesliga;29;663;0;0.00;0;0.00;0.00
9;Francesco Acerbi;DF;it Serie A;31;3,162;2;0.06;2;0.06;0.11
10;Che Adams;FW;eng Premier League;23;1,111;4;0.32;2;0.16;0.49
11;Tyler Adams;DF,MF;de Bundesliga;20;953;0;0.00;0;0.00;0.00
12;Sargis Adamyan;FW,MF;de Bundesliga;26;746;5;0.60;1;0.12;0.72
13;Antonio Adán;GK;es La Liga;32;25;0;0.00;0;0.00;0.00
14;Bobby Adekanye;FW;it Serie A;20;188;1;0.48;0;0.00;0.48
15;Claud Adjapong;DF;it Serie A;21;231;0;0.00;0;0.00;0.00
16;Amine Adli;MF,FW;fr Ligue 1;19;46;0;0.00;0;0.00;0.00
17;Yacine Adli;MF,FW;fr Ligue 1;19;1,020;3;0.26;3;0.26;0.53
18;Adrián;GK;eng Premier League;32;875;0;0.00;0;0.00;0.00
19;Aritz Aduriz;FW;es La Liga;38;208;1;0.43;0;0.00;0.43
20;Lumor Agbenyenu;DF;es La Liga;22;1,805;1;0.05;0;0.00;0.05
21;Martin Agirregabiria;DF;es La Liga;23;2,099;1;0.04;1;0.04;0.09
22;Lucien Agoume;MF;it Serie A;17;68;0;0.00;0;0.00;0.00
23;Kevin Agudelo;MF,FW;it Serie A;20;64;0;0.00;0;0.00;0.00
24;Kevin Agudelo;MF,FW;it Serie A;20;666;1;0.14;1;0.14;0.27
25;Nayef Aguerd;DF;fr Ligue 1;23;957;1;0.09;0;0.00;0.09
26;Sergio Agüero;FW;eng Premier League;31;1,452;16;0.99;3;0.19;1.18
27;Ruben Aguilar;DF;fr Ligue 1;26;1,072;0;0.00;2;0.17;0.17
28;Emmanuel Agyemang-Badu;MF,FW;it Serie A;28;230;0;0.00;0;0.00;0.00
29;Jean-Eudes Aholou;MF;fr Ligue 1;25;630;1;0.14;1;0.14;0.29
30;Joseph Aidoo;DF;es La Liga;23;2,502;0;0.00;1;0.04;0.04
31;Ola Aina;DF;it Serie A;22;2,079;0;0.00;2;0.09;0.09
32;Youssef Aït Bennasser;MF;fr Ligue 1;23;536;0;0.00;1;0.17;0.17
33;Rayan Aït Nouri;DF;fr Ligue 1;18;1,282;0;0.00;2;0.14;0.14
34;Albian Ajeti;MF,FW;eng Premier League;22;139;0;0.00;0;0.00;0.00
35;Ludovic Ajorque;FW;fr Ligue 1;25;2,058;8;0.35;4;0.17;0.52
36;Manuel Akanji;DF;de Bundesliga;24;2,309;0;0.00;1;0.04;0.04
37;Marley Aké;FW,MF;fr Ligue 1;18;99;0;0.00;0;0.00;0.00
38;Nathan Aké;DF;eng Premier League;24;2,503;2;0.07;2;0.07;0.14
39;Chadrac Akolo;FW,MF;fr Ligue 1;24;544;2;0.33;1;0.17;0.50
40;Kevin Akpoguma;DF;de Bundesliga;24;1,142;0;0.00;0;0.00;0.00
41;David Alaba;DF;de Bundesliga;27;2,498;1;0.04;1;0.04;0.07
42;Sofiane Alakouch;DF;fr Ligue 1;21;1,400;0;0.00;0;0.00;0.00
43;Lucas Alario;FW;de Bundesliga;26;1,174;7;0.54;1;0.08;0.61
44;Jordi Alba;DF;es La Liga;30;2,187;2;0.08;5;0.21;0.29
45;Luis Alberto;MF;it Serie A;26;3,113;6;0.17;15;0.43;0.61
46;Raúl Albiol;DF;es La Liga;33;3,237;1;0.03;0;0.00;0.03
47;Marc Albrighton;MF,DF;eng Premier League;29;867;0;0.00;3;0.31;0.31
48;Paco Alcácer;FW;es La Liga;25;924;4;0.39;1;0.10;0.49
