Name;Position;Age;Min;Goals;Goals.1;Asists;Asists.1;GoalAstPer90;90s;SCA;SCA90;ShootPass;ShootDrib;GCA;GCA90;AssistPass;AssistDrib;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass;Crosses;PenaltyWon;AerialWonRate;ShootOnTarget;ShootPer90;GoalPerShoot;TacklesWon;TklDribbling;Blocks;SuccPressRatio;MatchPlayed;PointPerMatch;TouchPenArea;SuccDrib;DribLegs;PlayerType;PlayerName;Value;Value2;Comp
Aaron Connolly;FW;19.0;1258;3;0.21;1;0.07;0.29;14.0;25.0;1.79;7.0;3.0;5.0;0.36;1.0;1.0;126.0;77.3;1739.0;242.0;7;2.0;22.6;13;2.72;0.08;8;3.0;8.0;29.5;24;1.13;61.0;6.0;1.0;Forward;Aaron Connolly;9.0;M;eng Premier League
Aaron Cresswell;DF;29.0;2727;3;0.1;0;0.0;0.1;30.3;46.0;1.52;33.0;2.0;2.0;0.07;1.0;1.0;1241.0;73.8;21630.0;10702.0;70;0.0;60.0;5;0.59;0.17;29;24.0;64.0;33.2;31;0.97;26.0;16.0;2.0;Defender;Aaron Cresswell;10.0;M;eng Premier League
Aaron Leya Iseka;FW;21.0;777;2;0.23;0;0.0;0.23;8.6;20.0;2.32;13.0;1.0;1.0;0.12;0.0;0.0;142.0;77.6;1881.0;252.0;3;1.0;34.5;8;2.9;0.04;5;2.0;6.0;20.4;22;0.27;39.0;7.0;0.0;Forward;Aaron Leya Iseka;600.0;K;fr Ligue 1
Aaron Ramsdale;GK;21.0;3330;0;0.0;1;0.03;0.03;37.0;3.0;0.08;1.0;0.0;0.0;0.0;0.0;0.0;648.0;57.7;21850.0;14848.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;12.5;37;0.92;0.0;0.0;0.0;Goalkeeper;Aaron Ramsdale;20.0;M;eng Premier League
Aaron Ramsey;MF;28.0;1051;3;0.26;1;0.09;0.34;11.7;44.0;3.77;40.0;2.0;4.0;0.34;3.0;0.0;649.0;87.0;9596.0;1744.0;13;0.0;63.6;9;2.31;0.11;19;7.0;21.0;28.4;24;2.25;61.0;16.0;0.0;Midfielder;Aaron Ramsey;20.0;M;it Serie A
Aaron Wan-Bissaka;DF;21.0;3070;0;0.0;4;0.12;0.12;34.1;47.0;1.38;40.0;5.0;6.0;0.18;5.0;1.0;1676.0;81.2;24885.0;9484.0;71;0.0;53.8;1;0.26;0.0;65;45.0;101.0;28.8;35;1.77;46.0;59.0;3.0;Defender;Aaron Wan-Bissaka;60.0;M;eng Premier League
Aarón Escandell;GK;23.0;270;0;0.0;0;0.0;0.0;3.0;2.0;0.67;2.0;0.0;0.0;0.0;0.0;0.0;77.0;60.2;2885.0;2005.0;0;0.0;0.0;0;0.0;0.0;0;0.0;0.0;0.0;3;1.0;0.0;0.0;0.0;Goalkeeper;Aarón Escandell;1.0;M;es La Liga
Aarón Martín;DF;22.0;1792;0;0.0;0;0.0;0.0;19.9;50.0;2.51;27.0;1.0;3.0;0.15;1.0;0.0;662.0;72.6;11891.0;4792.0;59;0.0;40.5;3;0.45;0.0;15;10.0;38.0;28.0;22;1.0;13.0;24.0;1.0;Defender;Aarón Martín;7.0;M;de Bundesliga
Abdou Diallo;DF;23.0;1201;0;0.0;1;0.07;0.07;13.3;10.0;0.75;7.0;0.0;1.0;0.07;1.0;0.0;986.0;92.9;19786.0;6924.0;6;0.0;60.7;2;0.37;0.0;10;6.0;22.0;37.3;16;2.44;8.0;17.0;1.0;Defender;Abdou Diallo;9.0;M;fr Ligue 1
Abdoulaye Bamba;DF;29.0;554;0;0.0;0;0.0;0.0;6.2;3.0;0.49;3.0;0.0;0.0;0.0;0.0;0.0;207.0;74.2;3542.0;1719.0;13;0.0;50.0;0;0.16;0.0;6;7.0;9.0;22.6;7;2.14;3.0;4.0;0.0;Defender;Abdoulaye Bamba;2.0;M;fr Ligue 1
Abdoulaye Doucouré;MF;26.0;3156;4;0.11;2;0.06;0.17;35.1;84.0;2.4;59.0;10.0;6.0;0.17;4.0;0.0;1302.0;78.5;21933.0;4818.0;27;0.0;50.0;12;1.77;0.06;49;16.0;59.0;25.1;37;0.89;98.0;49.0;2.0;Midfielder;Abdoulaye Doucouré;30.0;M;eng Premier League
Abdoulaye Touré;MF;25.0;2221;3;0.12;0;0.0;0.12;24.7;43.0;1.74;28.0;5.0;2.0;0.08;1.0;1.0;1135.0;84.8;21164.0;4192.0;9;0.0;50.0;8;1.34;0.03;28;12.0;39.0;29.6;27;1.37;24.0;38.0;1.0;Midfielder;Abdoulaye Touré;7.0;M;fr Ligue 1
Adam Lallana;MF;31.0;382;1;0.24;1;0.24;0.47;4.2;9.0;2.12;7.0;1.0;1.0;0.24;1.0;0.0;229.0;84.8;3398.0;790.0;5;0.0;38.9;1;1.18;0.2;12;9.0;13.0;31.1;15;2.67;12.0;2.0;1.0;Midfielder;Adam Lallana;20.0;M;eng Premier League
Adam Ounas;MF;22.0;1123;2;0.16;4;0.32;0.48;12.5;45.0;3.61;31.0;6.0;5.0;0.4;4.0;0.0;374.0;75.7;7412.0;1762.0;38;1.0;13.3;9;1.68;0.1;7;5.0;12.0;22.2;16;1.69;43.0;39.0;1.0;Midfielder;Adam Ounas;7.0;M;fr Ligue 1
Adam Webster;DF;24.0;2668;3;0.1;1;0.03;0.13;29.6;22.0;0.74;19.0;1.0;1.0;0.03;1.0;0.0;1547.0;84.8;33753.0;11543.0;9;0.0;70.0;7;0.54;0.19;25;16.0;66.0;38.7;31;1.06;30.0;12.0;0.0;Defender;Adam Webster;20.0;M;eng Premier League
Adama Soumaoro;DF;27.0;1052;2;0.18;0;0.0;0.18;11.7;2.0;0.18;1.0;0.0;1.0;0.11;0.0;0.0;623.0;94.8;13518.0;2983.0;0;0.0;70.95;3;0.575;0.375;7;2.0;23.0;33.35;14;1.525;9.0;1.0;0.0;Defender;Adama Soumaoro;2.0;M;it Serie A
Adama Traoré;MF;24.0;7274;10;0.07666666666666667;26;0.2233333333333333;0.3;80.8;310.0;2.8066666666666666;206.0;38.0;38.0;0.29333333333333333;28.0;2.0;2060.0;76.7;36144.0;9782.0;322;0.0;40.86666666666667;32;1.0033333333333332;0.049999999999999996;52;24.0;84.0;15.9;108;1.09;256.0;372.0;10.0;Midfielder;Adama Traoré;600.0;M;fr Ligue 1
Ademola Lookman;MF;21.0;309;0;0.0;0;0.0;0.0;3.4;13.0;3.79;10.0;1.0;0.0;0.0;0.0;0.0;116.0;76.3;1639.0;509.0;10;0.0;25.0;1;2.91;0.0;5;4.0;3.0;27.9;11;1.27;19.0;7.0;0.0;Midfielder;Ademola Lookman;8.0;M;de Bundesliga
Adil Aouchiche;MF;17.0;64;0;0.0;0;0.0;0.0;0.7;1.0;1.41;1.0;0.0;0.0;0.0;0.0;0.0;24.0;77.4;374.0;57.0;0;0.0;0.0;0;0.0;0.0;2;0.0;3.0;24.1;1;3.0;1.0;3.0;0.0;Midfielder;Adil Aouchiche;800.0;K;fr Ligue 1
Admir Mehmedi;MF;28.0;1200;2;0.15;2;0.15;0.3;13.3;32.0;2.4;25.0;0.0;7.0;0.52;6.0;0.0;412.0;71.8;6887.0;1953.0;17;0.0;41.8;9;1.72;0.09;5;4.0;16.0;27.7;21;1.57;41.0;7.0;0.0;Midfielder;Admir Mehmedi;6.0;M;de Bundesliga
Adnan Januzaj;FW;24.0;1167;3;0.23;3;0.23;0.46;13.0;56.0;4.32;27.0;6.0;7.0;0.54;3.0;0.0;323.0;65.1;6350.0;2051.0;42;0.0;35.0;8;1.93;0.12;4;3.0;10.0;24.7;24;1.46;44.0;34.0;3.0;Forward;Adnan Januzaj;20.0;M;es La Liga
Adrien Hunou;FW;25.0;1210;8;0.6;1;0.07;0.67;13.4;32.0;2.38;23.0;2.0;4.0;0.3;3.0;0.0;247.0;77.9;3710.0;750.0;11;1.0;32.4;14;2.16;0.24;16;5.0;21.0;29.5;23;1.74;57.0;12.0;0.0;Forward;Adrien Hunou;7.0;M;fr Ligue 1
Adrien Lebeau;MF;20.0;13;0;0.0;0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;50.0;39.0;5.0;0;0.0;0.0;0;0.0;0.0;0;0.0;1.0;25.0;2;0.5;0.0;1.0;0.0;Midfielder;Adrien Lebeau;700.0;K;fr Ligue 1
Adrien Silva;MF;30.0;1221;0;0.0;2;0.15;0.15;13.6;32.0;2.36;22.0;3.0;3.0;0.22;1.0;0.0;719.0;86.1;13447.0;3887.0;8;0.0;44.4;3;1.03;0.0;28;8.0;26.0;33.2;22;1.64;5.0;17.0;0.0;Midfielder;Adrien Silva;5.0;M;fr Ligue 1
