player,t_value
Christopher Nkunku,33.00 
Dani Olmo,33.00 
Filip Kostic,32.00 
Andrej Kramaric,32.00 
Mattéo Guendouzi,32.00 
Matheus Cunha,32.00 
Thorgan Hazard,32.00 
Dan-Axel Zagadou,31.50 
Edmond Tapsoba,30.00 
Konrad Laimer,30.00 
Nico Elvedi,30.00 
Giovanni Reyna,30.00 
Wout Weghorst,30.00 
Leon Bailey,29.50 
André Silva,28.00 
Florian Neuhaus,28.00 
Jude Bellingham,27.00 
Emre Can,26.00 
Corentin Tolisso,25.50 
Patrik Schick,25.00 
Ozan Kabak,25.00 
Angeliño,25.00 
Dominik Szoboszlai,25.00 
Marco Reus,25.00 
Yussuf Poulsen,25.00 
Erling Haaland,100.00 
Jadon Sancho,100.00 
Serge Gnabry,90.00 
Joshua Kimmich,85.00 
Alphonso Davies,80.00 
Leroy Sané,70.00 
David Alaba,65.00 
Leon Goretzka,60.00 
Robert Lewandowski,60.00 
Dayot Upamecano,60.00 
Lucas Hernández,50.00 
Niklas Süle,48.00 
Benjamin Pavard,45.00 
Ibrahima Konaté,40.50 
Marcus Thuram,40.00 
Denis Zakaria,40.00 
Kingsley Coman,40.00 
Lukas Klostermann,38.00 
Moussa Diaby,36.00 
Raphaël Guerreiro,35.00 
Julian Brandt,35.00 
Marcel Sabitzer,35.00 
Thomas Müller,35.00 
Matthias Ginter,35.00 
Alassane Plea,35.00 
Manuel Akanji,25.00 
Florian Wirtz,24.00 
Nordi Mukiele,23.00 
Evan N'Dicka,22.50 
Reinier,22.50 
Krzysztof Piatek,21.50 
Douglas Costa,20.00 
Florian Grillitsch,20.00 
Justin Kluivert,20.00 
Mats Hummels,20.00 
Marcel Halstenberg,20.00 
Lucas Alario,20.00 
Jonathan Tah,20.00 
Alexander Sörloth,20.00 
Emil Forsberg,20.00 
Lucas Tousart,20.00 
Ryan Sessegnon,20.00 
Suat Serdar,20.00 
Dodi Lukebakio,19.00 
Milot Rashica,18.00 
Kerem Demirbay,18.00 
Amadou Haidara,18.00 
Martin Hinteregger,18.00 
Christoph Baumgartner,18.00 
Exequiel Palacios,18.00 
Thomas Meunier,18.00 
Ramy Bensebaini,18.00 
Manuel Neuer,18.00 
Thomas Delaney,17.50 
Maximilian Arnold,17.00 
Axel Witsel,17.00 
Xaver Schlager,17.00 
Nadiem Amiri,16.00 
Tyler Adams,16.00 
Daichi Kamada,16.00 
Nicolás González,16.00 
Breel Embolo,16.00 
Amine Harit,16.00 
Marc Roca,16.00 
Jhon Córdoba,16.00 
Valentino Lazaro,15.00 
Josip Brekalo,15.00 
Hee-chan Hwang,15.00 
Jean-Philippe Mateta,15.00 
Stefan Lainer,14.50 
Robert Skov,14.00 
Diadié Samassékou,14.00 
Orel Mangala,14.00 
Kevin Kampl,14.00 
Jonas Hofmann,14.00 
Mohamed Salah,120.00 
Harry Kane,120.00 
Sadio Mané,120.00 
Kevin De Bruyne,120.00 
Raheem Sterling,110.00 
Trent Alexander-Arnold,110.00 
Heung-min Son,90.00 
Bruno Fernandes,90.00 
Kai Havertz,81.00 
Alisson,80.00 
Marcus Rashford,80.00 
Virgil van Dijk,80.00 
Andrew Robertson,75.00 
Roberto Firmino,72.00 
Timo Werner,70.00 
Bernardo Silva,70.00 
Paul Pogba,65.00 
Rodri,64.00 
Christian Pulisic,60.00 
Gabriel Jesus,60.00 
Richarlison,60.00 
Fabinho,60.00 
Aymeric Laporte,60.00 
Phil Foden,60.00 
N'Golo Kanté,60.00 
Rúben Dias,60.00 
Ederson,56.00 
James Maddison,55.00 
Anthony Martial,55.00 
Declan Rice,55.00 
Jorginho,50.00 
Wilfried Zaha,50.00 
