;Name;Age;Value
0;Kevin De Bruyne;29;€ 90.0M
1;Harry Kane;27;€ 90.0M
2;Sadio Mané;28;€ 90.0M
3;Virgil van Dijk;29;€ 70.0M
4;Mohamed Salah;28;€ 90.0M
5;Sergio Agüero;32;€ 60.0M
6;Alisson;27;€ 60.0M
7;Raheem Sterling;25;€ 80.0M
8;Bernardo Silva;25;€ 80.0M
9;Ederson;26;€ 60.0M
10;Gareth Bale;31;€ 50.0M
11;Roberto Firmino;28;€ 70.0M
12;Aymeric Laporte;26;€ 70.0M
13;Paul Pogba;27;€ 70.0M
14;Trent Alexander-Arnold;21;€ 60.0M
15;Mateo Kovacic;26;€ 70.0M
16;Heung-Min Son;28;€ 70.0M
17;Pierre-Emerick Aubameyang;31;€ 50.0M
18;Kai Havertz;21;€ 40.0M
19;Thiago;29;€ 60.0M
20;David De Gea;29;€ 30.0M
21;Marcus Rashford;22;€ 60.0M
22;Gabriel Jesus;23;€ 60.0M
23;N'Golo Kanté;29;€ 70.0M
24;Bruno Fernandes;25;€ 70.0M
25;Thiago Silva;35;€ 5.0M
26;Fernandinho;35;€ 6.0M
27;Christian Pulisic;21;€ 40.0M
28;Jack Grealish;24;€ 60.0M
29;Fabinho;26;€ 60.0M
30;Ilkay Gündogan;29;€ 50.0M
31;Mesut Özil;31;€ 10.0M
32;Anthony Martial;24;€ 60.0M
33;Edinson Cavani;33;€ 10.0M
34;Phil Foden;20;€ 40.0M
35;Rúben Dias;23;€ 40.0M
36;James Rodríguez;29;€ 40.0M
37;Andrew Robertson;26;€ 50.0M
38;Jamie Vardy;33;€ 20.0M
39;João Cancelo;26;€ 60.0M
40;Rodri;24;€ 50.0M
41;Youri Tielemans;23;€ 40.0M
42;John Stones;26;€ 30.0M
43;Rúben Neves;23;€ 40.0M
44;Naby Keïta;25;€ 50.0M
45;Georginio Wijnaldum;29;€ 40.0M
46;Rodrigo;29;€ 50.0M
47;Toby Alderweireld;31;€ 20.0M
48;Joe Gomez;23;€ 40.0M
49;Hugo Lloris;33;€ 20.0M
50;Riyad Mahrez;29;€ 50.0M
51;Hakim Ziyech;27;€ 50.0M
52;Jordan Henderson;30;€ 50.0M
53;Mason Mount;21;€ 40.0M
54;Timo Werner;24;€ 60.0M
55;Ricardo Pereira;26;€ 40.0M
56;César Azpilicueta;30;€ 30.0M
57;Willian;31;€ 30.0M
58;Richarlison;23;€ 40.0M
59;Thomas Partey;27;€ 50.0M
60;Wilfred Ndidi;23;€ 40.0M
61;Tammy Abraham;22;€ 40.0M
62;Mason Greenwood;18;€ 30.0M
63;Dominic Calvert-Lewin;23;€ 40.0M
64;Kurt Zouma;25;€ 40.0M
65;Bernd Leno;28;€ 30.0M
66;Ferran Torres;20;€ 40.0M
67;James Maddison;23;€ 40.0M
68;Ben Chilwell;23;€ 30.0M
69;Nélson Semedo;26;€ 40.0M
70;Diogo Jota;23;€ 40.0M
71;Allan;29;€ 40.0M
72;Alex Oxlade-Chamberlain;26;€ 40.0M
73;Kyle Walker;30;€ 40.0M
74;Ruben Loftus-Cheek;24;€ 30.0M
75;Tanguy Ndombele;23;€ 40.0M
76;Juan Mata;32;€ 9.0M
77;Nathan Aké;25;€ 30.0M
78;James Milner;34;€ 4.0M
79;Aaron Wan-Bissaka;22;€ 60.0M
80;Declan Rice;21;€ 30.0M
81;Alexandre Lacazette;29;€ 50.0M
82;Rui Patrício;32;€ 30.0M
83;Sergio Reguilón;23;€ 30.0M
84;Çaglar Söyüncü;24;€ 30.0M
85;Gabriel;22;€ 30.0M
86;Joël Matip;28;€ 30.0M
87;Dele Alli;24;€ 30.0M
88;Reece James;20;€ 30.0M
89;Allan Saint-Maximin;23;€ 30.0M
90;Antonio Rüdiger;27;€ 30.0M
91;Dani Ceballos;23;€ 20.0M
92;Harry Maguire;27;€ 40.0M
93;Adam Lallana;32;€ 20.0M
94;Benjamin Mendy;26;€ 40.0M
95;Jorginho;28;€ 30.0M
96;Héctor Bellerín;25;€ 30.0M
97;Xherdan Shaqiri;28;€ 40.0M
98;Raúl Jiménez;29;€ 40.0M
99;Andreas Christensen;24;€ 30.0M
100;Divock Origi;25;€ 40.0M
101;Eric Dier;26;€ 30.0M
102;Fikayo Tomori;22;€ 30.0M
103;Ross Barkley;26;€ 40.0M
104;Lucas Digne;27;€ 30.0M
105;Donny van de Beek;23;€ 30.0M
106;Jonny Evans;32;€ 10.0M
107;João Moutinho;33;€ 9.0M
108;Adama Traoré;24;€ 40.0M
109;Nicolas Pépé;25;€ 30.0M
110;Tosin Adarabioyo;22;€ 20.0M
111;Sander Berge;22;€ 30.0M
112;Kieran Tierney;23;€ 30.0M
113;Pablo Fornals;24;€ 30.0M
114;Nemanja Matic;32;€ 20.0M
115;Michy Batshuayi;26;€ 30.0M
116;Alphonse Areola;27;€ 20.0M
117;Jonny;26;€ 30.0M
118;Kepa Arrizabalaga;25;€ 20.0M
119;Danny Ings;28;€ 40.0M
120;Olivier Giroud;33;€ 8.0M
121;Wesley Fofana;19;€ 20.0M
122;Olexandr Zinchenko;23;€ 40.0M
123;Giovani Lo Celso;24;€ 40.0M
124;Lucas Moura;27;€ 40.0M
125;Wilfried Zaha;27;€ 60.0M
126;Callum Hudson-Odoi;19;€ 30.0M
127;Dean Henderson;23;€ 30.0M
128;Granit Xhaka;27;€ 30.0M
129;Cengiz Ünder;23;€ 10.0M
130;Alex Telles;27;€ 30.0M
131;Callum Wilson;28;€ 30.0M
132;Harvey Barnes;22;€ 30.0M
133;Ben Godfrey;22;€ 20.0M
134;Bernard;27;€ 30.0M
135;Kasper Schmeichel;33;€ 20.0M
136;Bukayo Saka;18;€ 30.0M
137;Dwight McNeil;20;€ 20.0M
138;Tariq Lamptey;19;€ 30.0M
139;Abdoulaye Doucouré;27;€ 30.0M
140;Eric García;19;€ 20.0M
141;Miguel Almirón;26;€ 30.0M
142;Leandro Trossard;25;€ 30.0M
143;Jordan Pickford;26;€ 40.0M
144;Mateusz Klich;30;€ 20.0M
145;André Gomes;27;€ 20.0M
146;David Luiz;33;€ 9.0M
147;Ainsley Maitland-Niles;22;€ 30.0M
148;Ben White;22;€ 30.0M
149;Diego Llorente;26;€ 30.0M
150;Nick Pope;28;€ 20.0M
151;Shkodran Mustafi;28;€ 20.0M
152;Emerson;26;€ 30.0M
153;Alex Iwobi;24;€ 30.0M
154;Takumi Minamino;25;€ 30.0M
155;Timothy Castagne;24;€ 30.0M
156;Axel Tuanzebe;22;€ 30.0M
157;Danny Welbeck;29;€ 20.0M
158;Lukasz Fabianski;35;€ 7.0M
159;Matt Doherty;28;€ 30.0M
160;Willy Boly;29;€ 20.0M
161;Edouard Mendy;28;€ 30.0M
162;Joe Hart;33;€ 8.0M
163;Reiss Nelson;20;€ 20.0M
164;Theo Walcott;31;€ 10.0M
165;Marcos Alonso;29;€ 30.0M
166;Victor Lindelöf;26;€ 30.0M
167;Alexis Mac Allister;21;€ 20.0M
168;Davinson Sánchez;24;€ 30.0M
169;Mohamed Elneny;28;€ 30.0M
170;Lewis Dunk;28;€ 30.0M
171;Rob Holding;24;€ 20.0M
172;Aaron Ramsdale;22;€ 20.0M
173;Mamadou Sakho;30;€ 20.0M
174;Illan Meslier;20;€ 20.0M
175;Maximilian Meyer;24;€ 6.0M
176;Andriy Yarmolenko;30;€ 20.0M
177;Yerry Mina;25;€ 30.0M
178;Sead Kolasinac;27;€ 20.0M
179;Pierre-Emile Højbjerg;24;€ 30.0M
180;James Ward-Prowse;25;€ 30.0M
181;Phil Jones;28;€ 10.0M
182;Mason Holgate;23;€ 20.0M
183;Pedro Neto;20;€ 10.0M
184;Pablo Hernandez;35;€ 2.0M
185;Islam Slimani;32;€ 10.0M
186;Kalvin Phillips;24;€ 30.0M
187;Harry Winks;24;€ 30.0M
188;Hamza Choudhury;22;€ 20.0M
189;Moussa Sissoko;30;€ 30.0M
190;Steven Bergwijn;22;€ 30.0M
191;Ryan Fraser;26;€ 30.0M
192;Erik Lamela;28;€ 30.0M
193;Fred;27;€ 30.0M
194;Raphinha;23;€ 30.0M
195;Eric Bailly;26;€ 30.0M
196;Gary Cahill;34;€ 1.0M
197;Jarrod Bowen;23;€ 20.0M
198;Martin Dubravka;31;€ 20.0M
199;Willy Caballero;38;€ 2.0M
200;Dennis Praet;26;€ 30.0M
201;Nathan Redmond;26;€ 30.0M
202;Scott McTominay;23;€ 30.0M
203;Vicente Guaita;33;€ 10.0M
204;André-Franck Zambo Anguissa;24;€ 20.0M
205;Mohammed Salisu;21;€ 10.0M
206;Kelechi Iheanacho;23;€ 20.0M
207;Christian Benteke;29;€ 8.0M
208;Luke Shaw;25;€ 30.0M
209;Calum Chambers;25;€ 20.0M
210;James Justin;22;€ 20.0M
211;Gylfi Sigurðsson;30;€ 20.0M
212;John McGinn;25;€ 30.0M
213;Carlos Vinicius;25;€ 20.0M
214;Douglas Luiz;22;€ 20.0M
215;Leander Dendoncker;25;€ 30.0M
216;Fraser Forster;32;€ 10.0M
217;James Tarkowski;27;€ 30.0M
218;Ebere Eze;22;€ 20.0M
219;Joe Willock;20;€ 20.0M
220;Vítor Ferreira;20;€ 2.0M
221;Tom Heaton;34;€ 10.0M
222;Ademola Lookman;22;€ 8.0M
223;Sokratis Papastathopoulos;32;€ 6.0M
224;Joachim Andersen;24;€ 6.0M
225;Jesse Lingard;27;€ 20.0M
226;Demarai Gray;24;€ 20.0M
227;Michail Antonio;30;€ 20.0M
228;Phil Jagielka;37;€ 800K
229;Ben Davies;27;€ 30.0M
230;Aleksandar Mitrovic;25;€ 20.0M
231;Jean-Philippe Gbamin;24;€ 30.0M
232;Tomas Soucek;25;€ 30.0M
233;Davy Pröpper;28;€ 30.0M
234;Seamus Coleman;31;€ 10.0M
235;Stuart Armstrong;28;€ 20.0M
236;Cenk Tosun;29;€ 9.0M
237;Ethan Ampadu;19;€ 10.0M
238;Branislav Ivanovic;36;€ 700K
239;Mario Lemina;26;€ 20.0M
240;Ryan Bertrand;30;€ 10.0M
241;Michael Keane;27;€ 30.0M
242;Danny Rose;30;€ 5.0M
243;Sean Longstaff;22;€ 10.0M
244;Pascal Groß;29;€ 20.0M
245;Kostas Tsimikas;24;€ 20.0M
246;Angelo Ogbonna;32;€ 10.0M
247;Pablo Marí;26;€ 20.0M
248;Kiko Casilla;33;€ 7.0M
249;Emiliano Martínez;27;€ 20.0M
250;Sergio Romero;33;€ 6.0M
251;Serge Aurier;27;€ 20.0M
252;Yves Bissouma;23;€ 20.0M
253;Jack O'Connell;26;€ 20.0M
254;Kyle Walker-Peters;23;€ 20.0M
255;Sébastien Haller;26;€ 10.0M
256;Robin Koch;24;€ 20.0M
257;Ayoze Pérez;27;€ 30.0M
258;Luka Milivojevic;29;€ 20.0M
259;Matheus Pereira;24;€ 20.0M
260;Moussa Djenepo;22;€ 10.0M
261;Conor Coady;27;€ 20.0M
262;Eddie Nketiah;21;€ 20.0M
263;Fabian Delph;30;€ 20.0M
264;Stuart Dallas;29;€ 30.0M
265;Jamal Lewis;22;€ 10.0M
266;Zack Steffen;25;€ 20.0M
267;Jack Harrison;23;€ 20.0M
268;Lys Mousset;24;€ 20.0M
269;Issa Diop;23;€ 20.0M
270;Fábio Silva;18;€ 2.0M
271;Florin Andone;27;€ 20.0M
272;John Fleck;28;€ 30.0M
273;Robin Olsen;30;€ 8.0M
274;Marcos Rojo;30;€ 10.0M
275;Jamaal Lascelles;26;€ 20.0M
276;Neal Maupay;23;€ 20.0M
277;Cédric;28;€ 20.0M
278;Hélder Costa;26;€ 20.0M
279;Bertrand Traoré;24;€ 20.0M
280;Tyrone Mings;27;€ 20.0M
281;Marc Albrighton;30;€ 20.0M
282;Jack Cork;31;€ 10.0M
283;Karlan Grant;22;€ 20.0M
284;Tom Davies;22;€ 10.0M
285;Rekeem Harper;20;€ 5.0M
286;Jack Butland;27;€ 6.0M
287;Jan Bednarek;24;€ 20.0M
288;Manuel Lanzini;27;€ 10.0M
289;Steven Alzate;21;€ 10.0M
290;Jannik Vestergaard;27;€ 20.0M
291;Adam Webster;25;€ 20.0M
292;Ezri Konsa;22;€ 10.0M
293;Ibrahima Diallo;21;€ 7.0M
294;Jóhann Berg Guðmundsson;29;€ 10.0M
295;Joël Veltman;28;€ 20.0M
296;Wesley;23;€ 10.0M
297;Cheikhou Kouyaté;30;€ 20.0M
298;Ben Mee;30;€ 20.0M
299;Che Adams;24;€ 20.0M
300;Jonjo Shelvey;28;€ 20.0M
301;Grady Diangana;22;€ 10.0M
302;Oli McBurnie;24;€ 20.0M
303;Adrián;33;€ 6.0M
