;Player;CompletedPasses;PassCompRatio;TotDistPass;ProgDistPass
0;Patrick van Aanholt;1227;78.8;21251;9280
1;Max Aarons;1316;78.1;20293;6834
2;Yunis Abdelhamid;1328;87.7;29513;9041
3;Suleiman Abdullahi;18;45.0;316;132
4;Mehdi Abeid;801;83.7;14638;3850
5;Charles Abi;74;56.1;1085;199
6;David Abraham;742;82.8;16639;6079
7;Tammy Abraham;288;69.9;4213;811
8;Amir Abrashi;298;87.1;4705;1028
9;Francesco Acerbi;1809;90.0;41350;12495
10;Che Adams;184;69.4;2931;631
11;Tyler Adams;595;85.1;9793;2653
12;Sargis Adamyan;140;73.3;2008;429
13;Antonio Adán;4;66.7;121;98
14;Bobby Adekanye;41;89.1;546;68
15;Claud Adjapong;61;76.3;1113;358
16;Amine Adli;21;77.8;336;127
17;Yacine Adli;460;79.2;8420;1964
18;Adrián;227;72.3;6819;3815
19;Aritz Aduriz;33;57.9;428;88
20;Lumor Agbenyenu;709;73.2;12417;6167
21;Martin Agirregabiria;722;71.2;12629;6069
22;Lucien Agoume;36;92.3;671;201
23;Kevin Agudelo;29;80.6;458;141
24;Kevin Agudelo;245;81.4;3840;902
25;Nayef Aguerd;487;85.1;11842;4422
26;Sergio Agüero;284;77.4;3746;786
27;Ruben Aguilar;666;84.2;11011;4090
28;Emmanuel Agyemang-Badu;91;87.5;1746;291
29;Jean-Eudes Aholou;262;83.7;4836;830
30;Joseph Aidoo;1073;87.7;23986;6718
31;Ola Aina;863;74.4;15454;6409
32;Youssef Aït Bennasser;357;86.4;6250;1555
33;Rayan Aït Nouri;625;78.0;10424;4748
34;Albian Ajeti;15;83.3;152;8
35;Ludovic Ajorque;371;72.9;5861;927
36;Manuel Akanji;1767;91.6;36920;11998
37;Marley Aké;25;86.2;414;68
38;Nathan Aké;1042;88.1;21690;7029
39;Chadrac Akolo;172;83.5;2703;811
40;Kevin Akpoguma;659;87.4;12650;3663
41;David Alaba;2250;90.8;47127;15534
42;Sofiane Alakouch;664;82.0;11883;4858
43;Lucas Alario;227;73.7;3353;375
44;Jordi Alba;1864;87.1;30213;9511
45;Luis Alberto;1792;79.2;33398;11824
46;Raúl Albiol;1619;86.0;41783;12195
47;Marc Albrighton;344;67.9;6189;2444
48;Paco Alcácer;181;78.7;2575;372
49;Paco Alcácer;84;75.0;1133;186
50;Thiago Alcántara;1649;89.6;34565;8766
51;Rubén Alcaraz;831;78.5;19154;4979
