;Player;ShootOnTarget;ShootPer90;GoalPerShoot
0;Patrick van Aanholt;5;0.93;0.08
1;Max Aarons;4;0.39;0.00
2;Yunis Abdelhamid;5;0.68;0.16
3;Suleiman Abdullahi;3;3.44;0.17
4;Mehdi Abeid;7;1.63;0.03
5;Charles Abi;0;0.72;0.00
6;David Abraham;4;0.37;0.29
7;Tammy Abraham;35;3.58;0.17
8;Amir Abrashi;2;0.68;0.00
9;Francesco Acerbi;7;0.48;0.12
10;Che Adams;9;3.00;0.11
11;Tyler Adams;1;0.66;0.00
12;Sargis Adamyan;10;2.41;0.25
13;Antonio Adán;0;0.00;
14;Bobby Adekanye;4;2.39;0.20
15;Claud Adjapong;1;1.17;0.00
16;Amine Adli;0;0.00;
17;Yacine Adli;6;1.59;0.17
18;Adrián;0;0.00;
19;Aritz Aduriz;3;2.60;0.17
20;Lumor Agbenyenu;2;0.70;0.07
21;Martin Agirregabiria;1;0.13;0.33
22;Lucien Agoume;0;0.00;
23;Kevin Agudelo;0;5.63;0.00
24;Kevin Agudelo;2;1.35;0.10
25;Nayef Aguerd;1;0.47;0.20
26;Sergio Agüero;25;4.52;0.19
27;Ruben Aguilar;3;0.59;0.00
28;Emmanuel Agyemang-Badu;0;0.00;
29;Jean-Eudes Aholou;4;1.43;0.10
30;Joseph Aidoo;1;0.36;0.00
31;Ola Aina;2;0.52;0.00
32;Youssef Aït Bennasser;0;0.34;0.00
33;Rayan Aït Nouri;0;0.28;0.00
34;Albian Ajeti;0;1.94;0.00
35;Ludovic Ajorque;18;1.92;0.16
36;Manuel Akanji;2;0.39;0.00
37;Marley Aké;0;2.73;0.00
38;Nathan Aké;7;0.86;0.08
39;Chadrac Akolo;4;1.49;0.22
40;Kevin Akpoguma;0;0.16;0.00
41;David Alaba;7;0.65;0.06
42;Sofiane Alakouch;4;0.64;0.00
43;Lucas Alario;18;3.60;0.13
44;Jordi Alba;3;0.29;0.29
45;Luis Alberto;27;2.86;0.05
46;Raúl Albiol;4;0.39;0.07
47;Marc Albrighton;2;1.04;0.00
48;Paco Alcácer;8;2.44;0.16
49;Paco Alcácer;7;2.55;0.33
50;Thiago Alcántara;8;0.97;0.16
51;Rubén Alcaraz;8;1.54;0.06
52;Toby Alderweireld;5;0.49;0.13
53;Haitam Aleesami;1;0.09;0.50
54;Álex Alegría;0;0.00;
55;Carles Aleñá;1;0.52;0.00
56;Carles Aleñá;4;1.47;0.08
57;Rúnar Alex Rúnarsson;0;0.00;
58;Trent Alexander-Arnold;13;1.25;0.09
59;Enrico Alfonso;0;0.00;
60;Rachid Alioui;21;3.34;0.10
61;Alisson;0;0.00;
62;Allan;7;0.84;0.17
63;Dele Alli;18;1.90;0.18
64;Miguel Almirón;17;1.64;0.07
65;Marcos Alonso;8;1.89;0.13
66;Mickaël Alphonse;0;0.52;0.00
67;Sergio Álvarez;0;0.00;
68;Sergio Álvarez;0;0.31;0.00
69;Yeray Álvarez;2;0.38;0.00
70;Bruno Alves;1;0.77;0.00
71;Steven Alzate;3;0.98;0.00
72;Ibrahim Amadou;1;0.71;0.00
73;Ibrahim Amadou;0;0.47;0.00
74;Romain Amalfitano;2;0.58;0.09
75;Amath;0;0.00;
76;Jordan Amavi;4;0.62;0.07
77;Thierry Ambrose;4;3.78;0.00
78;Kelvin Amian;3;0.44;0.00
79;Nadiem Amiri;18;2.08;0.02
80;Ethan Ampadu;0;1.11;0.00
81;Opoku Ampomah;5;2.88;0.00
82;Sofyan Amrabat;6;0.52;0.00
83;Joachim Andersen;1;0.59;0.10
84;Djavan Anderson;0;0.54;0.00
85;Felipe Anderson;8;1.38;0.04
86;Sebastian Andersson;35;2.05;0.18
87;Florin Andone;1;1.23;1.00
88;Benjamin André;3;0.70;0.13
89;Lorenzo Andrenacci;0;0.00;
90;Robert Andrich;7;1.75;0.02
91;Victorien Angban;0;0.35;0.00
92;Miguel Ángel Guerrero;4;1.48;0.08
93;Miguel Ángel Moyá;0;0.00;
94;José Ángel;7;0.92;0.04
95;Angeliño;2;0.41;0.20
96;Angeliño;0;1.06;0.00
97;Faustino Anjorin;0;4.50;0.00
98;Peter Ankersen;4;1.19;0.00
99;Cristian Ansaldi;8;1.43;0.14
100;Janis Antiste;1;7.50;0.00
101;Michail Antonio;30;3.41;0.13
102;Antoñito;0;0.09;0.00
103;Mirko Antonucci;0;3.29;0.00
104;Vitorino Antunes;0;0.00;
105;Christopher Antwi-Adjei;10;1.71;0.02
106;Anuar;0;0.48;0.00
107;Houssem Aouar;17;2.07;0.07
108;Adil Aouchiche;0;0.00;
109;Dennis Appiah;0;0.06;0.00
110;Mauro Arambarri;7;1.35;0.02
111;Guilherme Arana;0;1.13;0.00
112;Charles Aránguiz;2;0.64;0.07
113;Luiz Araújo;11;2.61;0.08
114;Néstor Araujo;3;0.37;0.08
115;Ronald Araújo;0;0.38;0.00
116;Anaitz Arbilla;2;0.63;0.07
117;Alphonse Areola;0;0.00;
118;Alphonse Areola;0;0.00;
119;Santiago Arias;2;0.50;0.00
